Compounds Name,aflowlib.org name,,ZX,,,ZAB,,ZAB,mX,,,,mAB,∆mAB,rowX,rowAB,∆rowAB,colX,colAB,∆colAB,eX,eAB,∆eAB,rX,rAB,∆rAB,χX,χAB,∆χAB,alatt,gap,cv,cs,κ˜grain,103P3,κtransf,κforest,κanh,class
CoBiZr,Bi1Co1Zr1.T0003.ABC,,27,,,61.50,,43,58.93,,,,150.10,117.76,4,5.50,1,9,9.50,11,1.88,1.68,0.69,135,157.50,5,1.04,1.40,1.28,6.09,0.98,20.70,3.18,0.80,5.25,50.77,24.25,17.76,HIGH
CoCrGe,Co1Cr1Ge1.T0003.CAB,,27,,,28,,8,58.93,,,,62.32,20.64,4,4,0,9,10,8,1.88,1.83,0.35,135,132.50,15,1.04,1.40,1.01,5.35,0.97,29.39,3.76,1.08,3.33,49.01,23.49,10.64,HIGH
CoCrSb,Co1Cr1Sb1.T0003.CAB,,27,,,37.50,,27,58.93,,,,86.88,69.76,4,4.50,1,9,10.50,9,1.88,1.85,0.39,135,142.50,5,1.04,1.49,1.19,5.63,0.75,25.97,2.94,0.85,7.57,6.29,25.22,1.89,HIGH
CoGaW,Co1Ga1W1.T0003.CAB,,27,,,52.50,,43,58.93,,,,126.78,114.12,4,5,2,9,9.50,7,1.88,2.08,0.55,135,132.50,5,1.04,1.28,0.80,5.52,0.39,26.74,3.60,1.19,3.76,147.01,30.41,22.18,HIGH
CoGeMn,Co1Ge1Mn1.T0003.CAB,,27,,,28.50,,7,58.93,,,,63.79,17.70,4,4,0,9,10.50,7,1.88,1.78,0.46,135,132.50,15,1.04,1.42,0.95,5.32,0.98,29.95,3.52,2.29,1.82,136.08,22.92,NA,HIGH
CoGeNb,Co1Ge1Nb1.T0003.CAB,,27,,,36.50,,9,58.93,,,,82.77,20.27,4,4.50,1,9,9.50,9,1.88,1.80,0.41,135,135,20,1.04,1.36,1.08,5.59,1.08,25.56,4.26,1.47,1.24,228.84,21.79,36.17,HIGH
CoGeTa,Co1Ge1Ta1.T0003.CAB,,27,,,52.50,,41,58.93,,,,126.79,108.31,4,5,2,9,9.50,9,1.88,1.75,0.51,135,135,20,1.04,1.36,1.07,5.60,1.20,25.78,3.68,1.07,3.52,209.79,28.23,27.23,HIGH
CoGeV,Co1Ge1V1.T0003.CAB,,27,,,27.50,,9,58.93,,,,61.79,21.70,4,4,0,9,9.50,9,1.88,1.82,0.38,135,130,10,1.04,1.37,1.06,5.39,0.69,27.95,4.39,1.32,2.44,134.67,21.34,29.06,HIGH
CoHfP,Co1Hf1P1.T0003.CAB,,27,,,43.50,,57,58.93,,,,104.73,147.52,4,4.50,3,9,9.50,11,1.88,1.75,0.89,135,127.50,55,1.04,1.48,1.41,5.55,1.35,25.74,3.59,0.84,2.82,146.12,27.49,23.88,HIGH
CoHfSb,Co1Hf1Sb1.T0003.CAB,,27,,,61.50,,21,58.93,,,,150.12,56.73,4,5.50,1,9,9.50,11,1.88,1.68,0.75,135,150,10,1.04,1.43,1.30,5.93,1.12,22.27,3.37,0.99,3.97,92.57,23.17,21.87,HIGH
CoLaTe,Co1La1Te1.T0003.CAB,,27,,,54.50,,5,58.93,,,,133.25,11.31,4,5.50,1,9,9.50,13,1.88,1.60,1,135,167.50,55,1.04,1.51,1.61,6.40,0.63,18.40,3.34,0.97,6.22,3.33,9.02,1.42,LOW
